Hora,Dotacion,Alertas_Mes,Gestion_Mes,Tiempo_Prom,Alertas_Dia,Gestion_Dia
0,1,289,318,23.9,9.6,10.6
1,1,253,259,26.5,8.4,8.6
2,1,245,293,31.9,8.2,9.8
3,1,179,201,18.6,6.0,6.7
4,1,261,251,18.7,8.7,8.4
5,1,198,221,16.2,6.6,7.4
6,1,258,223,11.5,8.6,7.4
7,1,477,427,10.0,15.9,14.2
8,2,610,537,21.4,20.3,17.9
9,6,893,889,17.8,29.8,29.6
10,7,1122,992,14.7,37.4,33.1
11,8,1489,1423,17.4,49.6,47.4
12,9,1224,1282,16.4,40.8,42.7
13,9,1217,1227,19.5,40.6,40.9
14,11,1192,1261,35.8,39.7,42.0
15,12,1209,1272,17.2,40.3,42.4
16,11,1409,1334,14.0,47.0,44.5
17,11,1368,1299,17.0,45.6,43.3
18,7,1311,1286,15.3,43.7,42.9
19,6,1111,1217,15.2,37.0,40.6
20,5,1103,1116,17.3,36.8,37.2
21,4,949,1053,13.4,31.6,35.1
22,2,750,766,11.1,25.0,25.5
23,1,551,521,14.9,18.4,17.4
